name;topic;question;source
None;yjyjyj;kfkfkfkf;user
None;Сходимость;Что такое предел?;user
bdfy;dhdhdh;hdhdhd;user
bdfy;dhdhdh;hdhdhd;user
bdfy;dhdhdh;hdhdhd;user
bdfy;dhdhdh;hdhdhd;user
Аноним;1;0;user
Аноним;1;0;user
Аноним;fhfhf;fhfhhf;user
Аноним;fhfhf;fhfhhf;user
Аноним;fu;jjj;user
иврр;новая;арара;user
иврр;новая;арара;user
иврр;новая;арара;user
иврр;новая;арара;user
иврр;новая;арара;user
иврр;новая;арара;user
иврр;новая;арара;user
иврр;новая;арара;user
иврр;новая;арара;user
иврр;новая;арара;user
